"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","M","20220301","2022","3","202203","233","EST","Estonia","X","Export","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"150420.82","150420.82","0","false","true",
"C","M","20220301","2022","3","202203","246","FIN","Finland","X","Export","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"507104.499","507104.499","4","false","true",
"C","M","20220301","2022","3","202203","251","FRA","France","X","Export","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"2703974.792","2703974.792","4","false","true",
"C","M","20220301","2022","3","202203","276","DEU","Germany","X","Export","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","7977493.108","7977493.108","4","false","true",
"C","M","20220301","2022","3","202203","300","GRC","Greece","X","Export","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","7750.734","7750.734","0","false","true",
"C","M","20220301","2022","3","202203","348","HUN","Hungary","X","Export","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1005005","1005005","0","false","true",
"C","M","20220301","2022","3","202203","372","IRL","Ireland","X","Export","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"212359.533","212359.533","0","false","true",
"C","M","20220301","2022","3","202203","380","ITA","Italy","X","Export","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"2630326.291","2630326.291","0","false","true",
"C","M","20220301","2022","3","202203","428","LVA","Latvia","X","Export","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"764348.65","764348.65","0","false","true",
"C","M","20220301","2022","3","202203","440","LTU","Lithuania","X","Export","417","KGZ","Kyrgyzstan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"4569179","4569179","0","false","true",
